preview,time,title
"KB손해보험은 27일 의정부체육관에서 열린 도드람 2020~2021 V리그 남자부 5라운드 현대캐피탈과 경기에서 세트 스코어 3-1(25-23, 17-25, 25-20, 25-17)로 이겼다. KB손해보험(14승10패, 승점42)은 이날 승리로 OK금융그룹(16승8패, 승점42)을 제치고 2위로 뛰어올랐다. 김천에서 열린 여자부 경기에선 도로공사가 현대건",2021.01.27 21:07,"KB손해보험, 현대캐피탈에 2연승 거두고 2위 도약"
"여자농구 명가드 출신 전주원(49·아산 우리은행 코치)이 도쿄올림픽 여자농구대표팀 감독에 선임됐다. 대한농구협회는 27일 ""한국농구 레전드 전주원과 이미선(42·용인 삼성생명 코치)을 도쿄올림픽 여자농구대표팀 감독과 코치로 선임했다""고 발표했다. 농구협회는 ""협회는 스포츠공정위원회를 개최하고, 대한체육회 법",2021.01.27 17:57,여자농구대표팀 감독에 '명가드 출신' 전주원
"도드람 2020~2021 V리그 4라운드 MVP로 남자부 현대캐피탈 다우디 오켈로와 흥국생명 이재영이 선정됐다. 남자부에서 기자단 투표 31표 중 총 17표(카일 러셀 7표, 임동혁 2표, 알렉스 페레이라 2표, 정지석 1표, 신영석 1표, 노우모리 케이타 1표)를 획득한 다우디는 4라운드 득점 2위, 공격종합 3위에 올랐다. 4라운드 MV",2021.01.27 17:44,"다우디-이재영, 프로배구 4라운드 MVP"
"한국프로야구선수협회가 장동철(60) 전 NC 다이노스 운영팀장을 사무총장으로 선임했다. 선수협은 운영팀장의 경력을 살려 선수, KBO간 원활한 소통을 통해 교량 역할을 잘 수행할 것으로 기대한다고 밝혔다. 선수협은 정관 개정 및 여러 가지 이슈에서도 리더십을 발휘하고 더 나아가 사무국 내부 직원과의 원활한 소통을",2021.01.27 17:36,"장동철 전 NC 운영팀장, 선수협 사무총장 선임"
지난 23일(현지시간) 미국 LA에서 열린 ‘미국 대학스포츠협회(NCAA) 체조 대회에 참가한 니아 데니스의 마루 운동이 화제다. 미국 캘리포니아대 로스앤젤레스 캠퍼스(UCLA)에 재학 중인 니아 데니스는 미시 엘리엇·켄드릭 라마 등 흑인 아티스트의 음악에 맞춰 완벽에 가까운 체조 동작을 선보였다. 미국 전 대통령 오바,2021.01.27 16:00,이게 체조야 댄스야···흑인 선수 몸놀림이 미국을 들었다 놨다
"화를 참지 못해 경기 중 폭발한 경력이 있는 빌런(악당) 선수들이 집단 치료(group therapy)를 받는 코믹 동영상이다. 티럴 해튼, 매트 월러스, 에디 페퍼렐, 헨릭 스텐손, 이언 폴터 등 분노조절장애 성향이 있는 선수들이 모여 치료를 받는다. 이전에 없던 개성적 연기파 프로 골퍼 티럴 해튼 신사 마르틴 카이머는 다른",2021.01.27 14:30,[성호준의 골프인사이드] 코미디 무대에 오른 코스의 악당들
"스피드스케이팅 국가대표 출신 김보름(28)과 노선영(32)이 2018 평창동계올림픽 팀 추월 종목에서 ‘왕따 주행’ 논란을 일으킨 것과 관련해 법적 다툼을 벌이고 있는 가운데 쇼트트랙 곽윤기(32) 선수가 ""선수들 간 싸움을 얼음 밖으로 가져오는 것은 옳지 않다""는 입장을 밝혔다가 여론의 비판을 받고 사과했다. 곽 선수",2021.01.27 14:29,"""싸울 곳은 얼음 위"" 곽윤기, 김보름·노선영 영상 올렸다 사과"
"미국프로농구(NBA) LA 레이커스 전설 코비 브라이언트가 세상을 떠난지 1년 되는 날, 추모 물결이 이어졌다. LA 레이커스 전설 매직 존슨은 자신의 트위터에 브라이언트와 찍은 사진과 함께 ""훌륭한 농구선수이자, 남편, 아버지, 멘토였던 브라이언트와 20년을 함께하도록 허락해준 신에게 감사하다""며 ""레이커스는 그의 탁",2021.01.27 13:17,"코비 사망 1년 추모물결 ""맘바 정신 영원할 것"""
"필리핀이 다음달 예정됐던 국제농구연맹(FIBA) 아시아컵 예선 개최를 포기했다. 아시아컵 예선 A조와 C조 경기는 다음달 18일~22일 필리핀 클라크에서 열릴 예정이었다. 전날 FIBA는 대한농구협회에 공문을 보내 ""동아시아 지역 코로나19 확산세로 필리핀이 입국제한국가를 30개국으로 늘리고, 그 기간도 연장했다. 필리핀",2021.01.27 11:32,"'코로나 확산' 필리핀 아시아컵 반납, 한국농구 여파는?"
홈런왕 배리 본즈(57)가 이번에도 명예의 전당 입성에 실패했다. 메이저리그 명예의 전당은 미국야구기자협회(BBWAA) 투표를 통해 입회 가능하다. 명예의 전당 투표는 최소 5%를 넘기면 다음 해에도 후보 자격이 유지된다.,2021.01.27 09:30,이번에도 본즈에겐 명예가 허락되지 않았다
